Gene,Sample_01-a01va,Sample_02-a01vb,Sample_03-a01vc,Sample_04-a01ca,Sample_05-a01cb,Sample_06-a01cc,Sample_07-a02vb,Sample_08-a02vc,Sample_09-a02ca,Sample_10-a02cb,Sample_11-a02cc,Sample_12-a04va,Sample_13-a04vb,Sample_14-a04vc,Sample_15-a04ca,Sample_16-a04cb,Sample_17-a04cc,Sample_18-a05va,Sample_19-a05vb,Sample_20-a05vc,Sample_21-a05ca,Sample_22-a05cb,Sample_23-a05cc,Sample_24-a06ca,Sample_25-a06cb,Sample_26-a07va,Sample_27-a07vb,Sample_28-a07vc,Sample_29-a07ca,Sample_30-a07cb,Sample_31-a07cc,Sample_32-a08va,Sample_33-a08vb,Sample_34-a08vc,Sample_35-a08ca,Sample_36-a08cc,Sample_37-a09va,Sample_38-a09vb,Sample_39-a09vc,Sample_40-a09ca,Sample_41-a09cb,Sample_42-a09cc,Sample_43-a10va,Sample_44-a10vb,Sample_45-a10vc,Sample_46-a10ca,Sample_47-a10cb,Sample_48-a10cc,Sample_49-a12va,Sample_50-a12vb,Sample_51-a13va,Sample_52-a13vb,Sample_53-a13vc,Sample_54-a13ca,Sample_55-a13cb,Sample_56-a13cc,Sample_57-a14va,Sample_58-a14vb,Sample_59-a14vc,Sample_60-a14ca,Sample_61-a14cb,Sample_62-a14cc,Sample_63-a17va,Sample_64-a17vb,Sample_65-a17vc,Sample_66-a17ca,Sample_67-a17cb,Sample_68-a17cc,Sample_69-arva,Sample_70-arvb,Sample_71-arvc,Sample_72-arca,Sample_73-arcb,Sample_74-arcc
PkV-RF01_g962,0,0,0,0,0,0,1,2,0,0,0,14,15,2,0,0,0,4,13,22,0,0,0,0,0,16,13,13,0,0,0,20,38,9,0,0,12,22,10,0,0,0,27,7,30,0,0,0,28,33,31,28,5,0,0,0,21,21,25,0,0,0,35,49,30,0,0,0,0,0,0,0,0,0
PkV-RF01_g963,0,0,0,0,0,0,0,0,0,0,0,2323,2752,943,0,0,0,2487,3753,4548,0,0,0,0,1,1656,3653,2699,0,0,0,3707,4540,1695,0,0,1582,2676,1231,0,0,18,1723,1456,2208,0,0,0,1237,1601,1468,937,1037,0,0,0,850,1533,1550,0,0,0,4633,5187,3135,0,0,0,0,0,0,0,0,0
PkV-RF01_g964,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,10,11,15,0,0,0,0,0,12,29,18,0,0,0,35,37,19,0,0,24,29,9,0,0,0,31,26,48,0,0,0,45,41,45,43,22,0,0,0,31,35,45,0,0,0,45,62,29,0,0,0,0,0,0,0,0,0
PkV-RF01_g965,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,2,17,11,0,0,0,0,0,25,16,20,0,0,0,23,38,13,0,0,20,33,16,0,0,0,14,19,32,0,0,0,31,48,48,82,27,0,0,0,31,28,24,0,0,0,39,45,26,0,0,0,0,0,0,0,0,0
PkV-RF01_g966,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,3,0,0,0,0,0,2,13,5,0,0,0,19,13,6,0,0,11,31,5,0,0,0,16,12,18,0,0,0,18,38,47,47,17,0,0,0,47,27,54,0,0,0,35,22,18,0,0,0,0,0,0,0,0,0
PkV-RF01_g967,0,0,0,0,0,0,0,0,0,0,0,25,22,10,0,0,0,20,31,35,0,0,0,0,0,13,21,12,0,0,0,21,35,17,0,0,22,42,8,0,0,0,12,13,25,0,0,0,18,47,55,30,21,0,0,0,31,31,42,0,0,0,72,76,44,0,0,0,0,0,0,0,0,0
PkV-RF01_g968,0,0,0,0,0,0,1,15,0,0,0,59,63,33,0,0,0,51,91,96,0,0,0,0,0,51,96,51,0,0,0,98,123,55,0,0,76,75,25,0,0,0,73,59,108,0,0,0,77,179,152,255,64,0,0,0,166,121,150,0,0,0,132,233,163,0,0,0,0,0,0,0,0,0
PkV-RF01_g969,0,0,0,0,0,0,0,0,0,0,0,91,88,26,0,0,0,46,105,117,0,0,0,0,0,46,93,47,0,0,0,73,75,47,0,0,33,47,20,0,0,0,30,26,27,0,0,0,23,45,44,39,20,0,0,0,35,26,43,0,0,0,150,180,133,0,0,0,0,0,0,0,0,0
PkV-RF01_g970,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,8,10,21,0,0,0,0,0,21,63,34,0,0,0,95,102,24,0,0,68,95,43,0,0,0,64,70,91,0,0,0,93,166,145,140,53,0,0,0,67,96,107,0,0,0,56,113,38,0,0,0,0,0,0,0,0,0
PkV-RF01_g971,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,17,21,16,0,0,0,0,0,41,71,58,0,0,0,111,108,51,0,0,88,120,65,0,0,0,131,71,159,0,0,0,117,265,177,212,107,0,0,0,114,115,180,0,0,0,116,143,89,0,0,0,0,0,0,0,0,0
