"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_698",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,9,0,0,0,0,0,1,11,0,0,0,0,4,2,4,0,0,4,0,6,0,0,1,2,4,5,0,0,0,3,16,28,38,3,0,0,0,21,17,14,0,0,0,17,8,6,0,0,0,0,0,0,0,0,0
"gene_699",0,0,0,0,0,0,0,0,0,0,0,43,43,12,0,0,1,31,58,73,0,0,0,0,0,37,59,30,0,0,0,39,75,30,0,0,22,28,20,0,0,0,31,34,35,0,0,0,22,35,29,52,9,0,0,0,53,21,44,0,0,0,59,45,33,0,0,0,2,0,0,0,0,0
"gene_700",0,0,0,0,0,0,0,0,0,0,0,43,37,14,0,0,0,88,154,139,0,0,0,0,0,166,340,187,0,0,0,438,459,226,0,0,322,359,194,0,0,0,405,335,465,0,0,0,421,987,774,1018,265,0,0,0,564,556,665,0,0,0,417,455,298,0,0,0,0,0,0,0,0,0
"gene_701",0,0,0,0,0,0,0,0,0,0,0,15,5,4,0,0,0,13,20,10,0,0,0,0,0,4,20,23,0,0,0,48,27,18,0,0,24,34,13,0,0,0,30,18,31,0,0,0,29,80,42,40,21,0,0,0,31,54,27,0,0,0,30,43,17,0,0,0,0,0,0,0,0,0
"gene_702",0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,4,10,16,0,0,0,0,0,11,21,10,0,0,0,37,39,10,0,0,15,12,7,0,0,0,12,27,18,0,0,0,27,63,74,97,34,0,0,0,111,59,125,0,0,0,68,61,34,0,0,0,0,0,0,0,0,0
"gene_703",0,0,0,0,0,0,0,0,0,0,0,6,5,2,0,0,0,8,21,14,0,0,0,0,0,7,16,10,0,0,0,27,34,5,0,0,9,23,8,0,0,0,11,13,10,0,0,0,8,23,10,70,9,0,0,0,44,17,39,0,0,0,50,26,30,0,0,0,0,0,0,0,0,0
"gene_704",0,0,0,0,0,0,0,0,0,0,0,10,8,8,0,0,0,14,20,22,0,0,0,0,0,35,55,29,0,0,0,78,77,41,0,0,62,73,40,0,0,0,61,51,84,0,0,0,67,106,93,194,39,0,0,0,80,51,89,0,0,0,67,60,29,0,0,0,0,0,0,0,0,0
"gene_705",0,0,0,0,0,0,0,3,0,0,0,58,56,23,0,0,0,59,109,128,0,0,0,0,0,33,71,39,0,0,0,76,65,39,0,0,37,67,32,0,0,0,36,34,35,0,0,0,11,45,45,41,18,0,0,0,40,20,43,0,0,0,135,120,94,0,0,0,0,1,0,0,0,0
"gene_706",2,4,1,1,1,1,0,4,3,0,2,481,562,188,1,4,5,492,784,900,3,2,2,3,0,284,802,498,2,2,1,832,909,457,0,0,377,547,286,0,0,2,488,383,534,1,4,6,382,534,444,583,292,0,0,2,470,313,456,4,0,1,921,1095,695,0,3,0,0,0,2,0,0,0
"gene_707",0,0,0,0,0,0,0,0,0,0,0,14,16,3,0,0,0,45,76,77,0,0,0,0,0,560,448,283,0,0,0,1107,1218,730,0,0,584,852,324,0,0,2,726,586,850,0,0,0,1050,2707,1476,1975,597,0,0,0,1747,1664,1259,0,0,0,1089,908,791,0,0,0,4,0,3,0,0,0
