"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_652",0,0,0,0,0,0,0,0,0,0,0,2.18621296033792,3.04214348768316,3.39858077395025,0,0,0,2.23484431773004,2.48228449721571,2.83877028172931,0,0,0,0,0,1.10325139323045,1.98358538552901,2.62329335064259,0,0,0,1.50391837970596,1.82442641483602,1.75266840244374,0,0,1.88773350195848,1.49798904258007,1.60502682900147,0,0,0,1.29852967291698,1.98384729752894,1.83271715956334,0,0,0,0.73408235921027,0.80058342614107,1.0232777138462,3.44905918949058,0.947893149800067,0,0,0,2.95917212408855,1.51598273668567,1.61427257738598,0,0,0,2.35746656100031,1.47647274540072,2.51909924561919,0,0,0,0,0,0,0,0,0
"gene_653",0,0,0,0,0,0,0,0,0,0,0,3.44147915329968,3.07596027603952,1.17591557630854,0,0,0,3.17484850225594,3.09530141759091,2.69336608582509,0,0,0,0,0,1.8274625882359,2.81305741591436,2.16912713359985,0,0,0,2.98069782020605,2.22162534168729,3.14677269270797,0,0,2.97541899941088,2.53963713881533,2.13628753434265,0,0,0,1.90037502663128,2.08179672470885,2.36769652723918,0,0,0,1.81941587765498,2.45922761347818,2.45969823492807,2.91303177667046,1.30841862151757,0,0,0,2.88318749330893,2.48869265665371,2.53859535109365,0,0,0,2.27624387039058,2.72969302538568,2.55892594977937,0,0,0,0,0,0,0,0,0
"gene_654",0,0,0,0,0,0,0,0,0,0,0,2.19202242196302,2.21269686724509,3.20561528754044,0,0,0,1.51711308134279,3.12252456642272,3.21079854964125,0,0,0,0,0,1.72527458219651,2.68214947064358,2.25744925134371,0,0,0,0.547880024040682,1.91117976661429,1.37161545521466,0,0,1.89459270419811,1.68301870835435,1.02066061549727,0,0,0,0.912765490752209,0.580485559826971,1.96914460632401,0,0,0,0.737942105358541,1.20498365824165,0.502910160172665,2.95599822597315,0,0,0,0,2.56054353306442,0.341779093363425,0.758302293150889,0,0,0,2.50122918332548,1.99632684721523,2.18978575253484,0,0,0,0,0,0,0,0,0
"gene_655",0,0,0,0,0,0,0,0,0,0,0,7.36621818339644,6.80844545718436,5.63891186768551,0,0,0,6.68435695855968,7.278484956745,7.06520111197392,0,0,0,0.856394985384998,0,5.85633886370495,6.42593817510115,6.32371375261691,0,0,0,5.86839060954889,6.03933324138324,5.73397261506142,0,0,5.70582583996601,6.16345574069769,5.05986761977386,0,0,0,5.10467905943632,5.96664841879855,5.52286468316713,0,0,0,4.59876815914858,4.41833925225337,4.76905836797761,5.15709415602129,4.07608557116031,0,0,0,4.75530808308204,4.61869200907177,5.0656464938274,0,1.58199948607693,0,6.12920204021909,6.13911372325793,6.66937429654992,0,0,0,0,0,0,0,0,0
"gene_656",0,0,0,0,0,0,0,0,0,0,0,5.61840549838764,4.87776763250641,5.04183698115033,0,0,0,5.02718314642021,5.11858615412759,5.28950936647278,0,0,0,0,0,4.10895769061501,4.50706295612192,4.53239741899468,0,0,0,4.26301872543195,4.3447756404987,4.13565872839242,0,0,3.89478331275901,4.63822227810877,3.44281042923908,0,0,0,3.42086346961348,3.83871712949393,4.12290901885387,0,0,0,2.62843444065359,3.5517151579571,2.9689460240432,4.08602728296587,2.97910917332278,0,0,0,3.29475392236943,3.95942257159281,3.21614665724362,0,0,0,4.44569434457827,4.94955857853788,4.84949411147779,0,0,0,0,0,0,0,0,0
"gene_657",0,0,0,0,0,0,0,0,0,0,0,2.43813380544137,1.60527718435143,1.18455950508443,0,0,0,0.658952658224115,1.5375790563357,1.74576583543146,0,0,0,0,0,0,1.00813498427129,1.21523006109719,0,0,0,0.519894482949684,1.95064083206609,1.09008832061078,0,0,0.78884451371937,0.428766647893898,0.982249615813726,0,0,0,0.632962423787146,0.948656327332484,0.925346452352948,0,0,0,0.709910777174673,1.03388253286964,0,3.37273563791366,0,0,0,0,2.61779196044135,0.824743929342946,0.525406034571158,0,0,0,0.787714618842746,1.43288050000052,1.09392213010282,0,0,0,0,0,0,0,0,0
"gene_658",0,0,0,0,0,0,0,0,0,0,0,6.52848442443725,5.44498860690744,5.20997999134278,0,0,0,5.69573413664843,5.9859587496404,5.64047254739577,0,0,0,0,0,4.76363588959158,5.23548085441926,5.47579768663316,0,0,0,5.0966803996763,5.04818448905669,4.74022053916156,0,0,4.71746043235411,5.16308033969767,4.43343752810352,0,0,0,4.60178732808246,4.86346533206039,5.11117234928421,0,0,0,4.44646115272947,4.13303800841594,4.13870542109,4.19383383604283,4.0460135617934,0,0,0,4.25639074121739,3.59639176300309,4.25529952949606,0,0,0,5.20534625766986,5.56914553818895,5.34100083691005,0,0,0,0,0,0,0,0,0
"gene_659",0,0,0,0,0,0,2.98222137234557,0,0,0,0,4.01459337047997,3.70316475358848,3.4473893751083,0,0,0,3.06340748580469,3.76283873453333,3.86598543282337,0,0,0,0,0,2.31407541929593,3.89961066715943,3.50657197237809,0,0,0,3.78565890798902,3.84081601904528,3.8048535917336,0,0,3.71774067186624,4.99988794436315,2.76014534401955,0,0,0,4.12828455663373,4.04746570676065,4.26202036156304,0,0,0,4.35221036333021,3.9721661017435,4.43071259113209,4.0375139695759,3.56559927346383,0,0,0,3.81970242272158,4.32996851210256,3.95797352106196,0,0,0,4.17594715409428,4.49118081027773,4.2426977920585,0,0,0,0,0,0,0,0,0
"gene_660",4.59619869516944,3.4733587267574,3.94791527917403,0,0,0,5.62551746118414,4.92139874116613,0,0,0,6.31454413950947,5.9148336481846,5.03927053244183,0,0,0,4.9344562691748,5.54707771575076,5.56476476566464,0,0,0,0,0,4.59149505305593,4.6470675981679,4.80306695088433,0,0,0,5.15166607623574,5.14661398027392,4.67067899589084,0,0,4.49182749167989,5.76434460343086,4.4913555704595,0,0,0,4.49247942873447,5.12935514171211,4.92751760009171,0,0,0,5.29267631922917,5.29674450223277,5.59863536738874,5.64005994545509,4.30214083002882,0,0,0,4.39696146691199,5.51617189709164,4.99047512685631,0,0,0,5.7579822863266,5.88641672957444,6.12723033956261,0,0,0,0,1.7454126335344,0,0,0,0
"gene_661",0,0,0,0,0,0,0,0,0,0,0,1.60153791190622,1.81198576768875,1.0978680103372,0,0,0,1.37065096812148,2.02245798941674,2.35895071748839,0,0,0,0,0,2.63377189984471,3.13520136856404,2.65242649578883,0,0,0,2.85915067095615,2.39269807845403,3.34399027256193,0,0,2.75576705269436,3.02696202088939,2.36507511405496,0,0,0,2.11450389694755,2.90624815248841,3.4101976691933,0,0,0,2.19476268435417,3.06736158466506,3.01399800660925,3.90499257087467,1.93339610990289,0,0,0,3.66752121593842,2.57441960189668,2.31399346009221,0,0,0,2.44221031839129,2.71963224722043,2.41209123195384,0,0,0,0,0,0,0,0,0
"gene_662",0,0,0,0,0,0,0,0,0,0,0,7.29336771898029,7.08400752050294,6.0476572439208,0,0,0,6.69084314310092,7.2918785689874,7.18001351145019,0,0,0,0,0,5.87957093847879,6.63122505029998,6.62548755027126,0,0,0,6.14795458747115,6.40178860968663,6.14433749146076,0,0,5.77099509072256,6.65643314942901,5.99312030248722,0,0,2.74931624735796,5.60530188566699,6.13007928017797,6.22810289215416,0,0,0,5.32169979680531,5.25252616426823,5.09886369818522,5.3379732451043,5.2459379395514,0,0,0,4.96675727716222,5.337639413279,5.30793339157303,0,0,0,6.47635328134185,6.78344924929366,6.59793366880886,0,0,0,0,0,0,0,0,0
"gene_663",0,0,0,0,0,0,0,0,0,0,0,4.11530485731138,4.44807377206958,3.75302561014928,0,0,0,3.98319279275494,3.77092601308841,3.79151501011197,0,0,0,0,0,3.73623815957912,4.42558877916962,4.36107172164051,0,0,0,4.16394640340483,4.03656902830094,4.2089438314199,0,0,4.78651227573381,4.25806219665216,4.41208092116729,0,0,3.67120692397232,4.43630693067705,4.71489787231372,4.75338287548833,0,0,0,4.48509605259929,4.80719231740506,4.72909239984303,5.96527208874342,4.24326380022814,0,0,0,5.15982756138912,4.87600668004418,4.8733923613037,0,0,0,4.12694372889129,4.51525251273915,4.06573821136317,0,0,0,0,0,0,0,0,0
"gene_664",0,0,0,0,0,0,0,0,0,0,0,4.94531464710905,3.94933552391155,3.41758845940784,0,0,0,3.94878884925329,4.37042824610796,4.56633193730719,0,0,0,0,0,3.55072725192571,3.97311640921522,3.73541139329984,0,0,0,3.8727707038537,3.55789539137394,3.53643449386032,0,0,3.65785583592641,3.67490391703281,3.10633005977116,0,0,0,3.25157914446744,3.44688612549017,3.86273294142668,0,0,0,3.36103748231441,3.09700046077575,3.50598184126723,3.80826666789683,3.51573367859506,0,0,0,3.8501965219101,3.56984508285767,3.22947994091338,0,0,0,4.42532873364148,4.36157334135501,4.62488018098732,0,0,0,0,0,0.612934330277178,0,0,0
